title,author,length
Temptation: Erotic Romance Stories,Lauren Rose,Length: 12 hrs and 5 mins
West Peak,C Peinhopf,Length: 20 hrs and 54 mins
Henry V,Dan Jones,Length: 14 hrs and 41 mins
Sherlock Holmes and the Telegram from Hell,Nicholas Meyer,Length: 7 hrs and 49 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Length: 24 hrs and 21 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
Into the Madness,Trevor Aaronson,Length: 4 hrs and 31 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
Infernal Legacy,"Edgar Riggs,Gwen Grayson",Length: 12 hrs and 23 mins
House of Crimson Curses,Ruby Roe,Length: 12 hrs and 25 mins
The Bonds That Break Us,Erin Mainord,Length: 12 hrs and 34 mins
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins
Lost Light: The Complete Survival Thriller Series Box Set,Kyla Stone,Length: 55 hrs and 51 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Alas de Ónix [Onyx Storm],Rebecca Yarros,Length: 27 hrs and 46 mins
Accidental Goblin King Omnibus: Books 1-4,Leon West,Length: 43 hrs and 9 mins
The Life Impossible,Matt Haig,Length: 10 hrs and 43 mins
Hábitos atómicos (Español neutro),James Clear,Length: 9 hrs and 1 min
Neighborhood Watch 9: After the EMP,E.E. Isherwood,Length: 9 hrs and 20 mins
Net Bet,"Ryan Taylor,Joshua Harwood",Length: 7 hrs and 14 mins
Scoring Sutton,Jennifer Bonds,Length: 9 hrs and 42 mins
"Hey, Daddy",Lani Lynn Vale,Length: 6 hrs and 19 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
Cadaver: The Complete Zombie Apocalypse Series,Nick Clausen,Length: 36 hrs and 54 mins
Counting Miracles,Nicholas Sparks,Length: 10 hrs and 45 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Eleven Numbers,Lee Child,Length: 1 hr and 28 mins
The Perfect Guest,Ruth Irons,Length: 10 hrs and 54 mins
North Woods,Daniel Mason,Length: 11 hrs and 5 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Last Keeper,Kathryn Butler,Length: 10 hrs and 4 mins
Promised in Blood,Sadie Kincaid,Length: 10 hrs and 44 mins
Back in Your Arms,Luke Sobota,Length: 1 hr and 2 mins
The Calamitous Bob,Alex Gilbert,Length: 9 hrs and 41 mins
Trickery,"Jaymin Eve,Jane Washington",Length: 8 hrs and 18 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,Length: 6 hrs and 11 mins
"The America Falls Omnibus, Books 1-11",Scott Medbury,Length: 59 hrs and 35 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
Can't Hurt Me,David Goggins,Length: 13 hrs and 37 mins
Siren in the Rain,Chloe Archer,Length: 9 hrs and 53 mins
Red Rising (Part 2 of 2) (Dramatized Adaptation),Pierce Brown,Length: 8 hrs and 19 mins
What Kind of Mother,Anna-Lou Weatherley,Length: 11 hrs and 23 mins
Dune Messiah,Frank Herbert,Length: 8 hrs and 57 mins
A Gentleman for Lady Juniper,Sally Britton,Length: 7 hrs and 28 mins
Mine,Riley Hart,Length: 7 hrs and 27 mins
Stepbrother Dearest,Penelope Ward,Length: 7 hrs and 58 mins
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 26 mins
Come As You Are: Revised and Updated,Emily Nagoski PhD,Length: 11 hrs and 30 mins
The Shaman's Book of Extraordinary Practices,José Luis Stevens,Length: 7 hrs and 2 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
Hand of the Queen,John Conroe,Length: 9 hrs and 13 mins
Able Bodied Soldier 1,"Jason Anspach,J.N. Chaney",Length: 12 hrs and 47 mins
The Dragon's Gambit,Hankthemoose,Length: 12 hrs and 4 mins
Hitch,C.J. Petit,Length: 11 hrs and 30 mins
Disenchanted,D.M. Guay,Length: 9 hrs and 24 mins
I'm Almost There,Todd Almond,Length: 59 mins
Disney*Pixar Storybook Collection,Disney Press,Length: 5 hrs and 33 mins
The Silmarillion,"J. R. R. Tolkien,Christopher Tolkien",Length: 19 hrs and 24 mins
String Theories,"Adam Levy,Ethan Sherman",Length: 4 hrs and 5 mins
Lord of the Dragon Riders Omnibus: Books 1-3,"Turner Tellborn,Marcus Sloss",Length: 28 hrs and 39 mins
The Four Winds,Kristin Hannah,Length: 15 hrs and 20 mins
30 Days to a New Relationship with Alcohol,"Holly Whitaker,30-Day Guides to Improve Your Life",Length: 3 hrs and 52 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
His Realm,Mary Calmes,Length: 8 hrs and 34 mins
"The Witches of Scotland: The Complete Series, Books 1-8",Steven P Aitchison,Length: 32 hrs and 7 mins
The Bennet Inheritance,Jann Rowland,Length: 14 hrs and 57 mins
Warrior Fae,"Caroline Peckham,Susanne Valenti",Length: 29 hrs and 37 mins
Vicious Fae,"Caroline Peckham,Susanne Valenti",Length: 17 hrs and 57 mins
The Complete Poppy War Trilogy,R. F. Kuang,Length: 66 hrs and 29 mins
Filthy Savage,Lilian Harris,Length: 11 hrs and 28 mins
The Most Powerful Sentence of All Time,Neil Gordon,Length: 2 hrs and 35 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
Trauma Bonds,Nataley Niehaus,Length: 5 hrs and 38 mins
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Jasper,M. Merin,Length: 4 hrs and 41 mins
Grimmwald: Book 1,Jay Aury,Length: 11 hrs and 10 mins
Rise of the Strongest Girl Next Door 1,"Yuki Knightley,Gwen Grayson",Length: 10 hrs
Never Finished,David Goggins,Length: 11 hrs and 6 mins
"Urban Gardening and Raised Bed Gardening Guidebooks for Beginners Trilogy: For Small Space, Backyard Mini & Container Gardens",David Whitehead,Length: 15 hrs and 3 mins
One by One,Freida McFadden,Length: 6 hrs and 42 mins
Leyline Magus Omnibus: Books 1-3,"Isaac Keyes,Marcus Sloss",Length: 27 hrs and 6 mins
It Starts with Us,Colleen Hoover,Length: 8 hrs and 41 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Hunting Adeline,H. D. Carlton,Length: 21 hrs and 49 mins
Dark Princess Ascending,I. T. Lucas,Length: 8 hrs and 59 mins
Pretty Girls,Karin Slaughter,Length: 20 hrs
Commune 7: Bloody Sun,"Joshua Gayou,Devon C. Ford",Length: 17 hrs and 34 mins
Mage of Waycross 2,Jack Bryce,Length: 7 hrs and 34 mins
System Warrior Omnibus: Books 1-3,Shane Hammond,Length: 36 hrs and 37 mins
Cold as Hell,Kelley Armstrong,Length: 10 hrs and 6 mins
Sing You Home,Jodi Picoult,Length: 17 hrs and 24 mins
Threshold,Will Wight,Length: 8 hrs and 35 mins
The Let Them Theory,Mel Robbins,Length: 10 hrs and 38 mins
Quicksilver,Callie Hart,Length: 20 hrs and 41 mins
Pucking Around,Emily Rath,Length: 24 hrs and 41 mins
Not Till We Are Lost,Dennis E. Taylor,Length: 11 hrs and 41 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,Length: 77 hrs and 20 mins
The Holy Bible: King James Version,King James Bible,Length: 82 hrs and 53 mins
Thorns of Blood,Eva Winners,Length: 10 hrs and 22 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Roadtrip,Travis Bagwell,Length: 25 hrs and 40 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
The Kiss Lottery,Ilsa Madden-Mills,Length: 4 hrs and 15 mins
Hungerstone,Kat Dunn,Length: 10 hrs and 15 mins
Hooked,Emily McIntire,Length: 9 hrs
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Cher: Part One,Cher,Length: 15 hrs and 47 mins
"An Irish Village Mystery Bundle, Books 1-3",Carlene O'Connor,Length: 29 hrs and 55 mins
Flowers of Esthelm,pirateaba,Length: 37 hrs and 37 mins
Overpowered Wizard,Hunter Mythos,Length: 34 hrs and 19 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
Fate of the Sun King,Nisha J. Tuli,Length: 15 hrs and 30 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Why Nothing Works,Marc J. Dunkelman,Length: 13 hrs and 31 mins
Wind and Truth,Brandon Sanderson,Length: 62 hrs and 48 mins
Curvy Girl Summer,Danielle Allen,Length: 12 hrs and 23 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
Thorns of Blood,Eva Winners,Length: 10 hrs and 22 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Roadtrip,Travis Bagwell,Length: 25 hrs and 40 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
The Kiss Lottery,Ilsa Madden-Mills,Length: 4 hrs and 15 mins
Hungerstone,Kat Dunn,Length: 10 hrs and 15 mins
Hooked,Emily McIntire,Length: 9 hrs
The Return of the King,J. R. R. Tolkien,Length: 21 hrs and 52 mins
Cher: Part One,Cher,Length: 15 hrs and 47 mins
"An Irish Village Mystery Bundle, Books 1-3",Carlene O'Connor,Length: 29 hrs and 55 mins
Flowers of Esthelm,pirateaba,Length: 37 hrs and 37 mins
Overpowered Wizard,Hunter Mythos,Length: 34 hrs and 19 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
Fate of the Sun King,Nisha J. Tuli,Length: 15 hrs and 30 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 22 hrs and 38 mins
Why Nothing Works,Marc J. Dunkelman,Length: 13 hrs and 31 mins
Wind and Truth,Brandon Sanderson,Length: 62 hrs and 48 mins
Curvy Girl Summer,Danielle Allen,Length: 12 hrs and 23 mins
The Hobbit,J. R. R. Tolkien,Length: 10 hrs and 25 mins
