Tarih,Ev Sahibi Takım,Maç Sonucu,Konuk Takım
01-09-2024,Buyuksehyr,5 - 2,Antalyaspor
14-09-2024,Bodrumspor,0 - 1,Buyuksehyr
18-09-2024,Samsunspor,2 - 0,Buyuksehyr
27-09-2024,Sivasspor,1 - 2,Buyuksehyr
05-10-2024,Buyuksehyr,1 - 1,Kayserispor
19-10-2024,Trabzonspor,1 - 0,Buyuksehyr
28-10-2024,Buyuksehyr,1 - 1,Eyüpspor
03-11-2024,Konyaspor,3 - 2,Buyuksehyr
10-11-2024,Buyuksehyr,0 - 0,Besiktas
23-11-2024,Gaziantep F.K.,3 - 0,Buyuksehyr
30-11-2024,Buyuksehyr,4 - 1,Göztepe AŞ
08-12-2024,Buyuksehyr,3 - 0,Hatayspor
15-12-2024,Fenerbahce,3 - 1,Buyuksehyr
23-12-2024,Buyuksehyr,2 - 2,Kasimpasa
04-01-2025,Adana Demirspor,0 - 1,Buyuksehyr
12-01-2025,Buyuksehyr,1 - 2,Galatasaray
18-01-2025,Buyuksehyr,2 - 0,Rizespor
25-01-2025,Alanyaspor,5 - 4,Buyuksehyr
01-02-2025,Buyuksehyr,4 - 0,Samsunspor
09-02-2025,Antalyaspor,0 - 0,Buyuksehyr
11-08-2024,Alanyaspor,1 - 1,Eyüpspor
19-08-2024,Eyüpspor,4 - 1,Bodrumspor
24-08-2024,Sivasspor,0 - 1,Eyüpspor
01-09-2024,Eyüpspor,0 - 0,Trabzonspor
15-09-2024,Kayserispor,2 - 2,Eyüpspor
22-09-2024,Besiktas,2 - 1,Eyüpspor
29-09-2024,Eyüpspor,3 - 2,Gaziantep F.K.
06-10-2024,Konyaspor,2 - 1,Eyüpspor
19-10-2024,Eyüpspor,1 - 0,Göztepe AŞ
28-10-2024,Buyuksehyr,1 - 1,Eyüpspor
03-11-2024,Eyüpspor,2 - 0,Hatayspor
09-11-2024,Adana Demirspor,0 - 1,Eyüpspor
23-11-2024,Eyüpspor,1 - 2,Rizespor
01-12-2024,Galatasaray,2 - 2,Eyüpspor
08-12-2024,Eyüpspor,3 - 0,Samsunspor
13-12-2024,Kasimpasa,2 - 0,Eyüpspor
20-12-2024,Eyüpspor,1 - 1,Fenerbahce
04-01-2025,Antalyaspor,1 - 4,Eyüpspor
